X,Y,id,type
-109.672002782941,32.5200405710145,"29",Soil
-109.716901793294,32.1945813726265,"28",Soil
-110.519470798493,31.7251806743901,"17",Soil
-111.208459863002,32.6228326677295,"2",Soil
-110.594652739191,32.5831842565775,"6",Soil
-111.176184017007,32.1763363294317,"11",Dust
-110.99375307,32.1614555266274,"10",Dust
-111.31447261,32.0722991608164,"12",Soil
-111.39751123,31.8654057224941,"13",Soil
-111.163130037438,31.7177758856669,"14",Soil
-110.86238964,31.78530801,"16",Soil
-110.80712784,32.07418891,"15",Soil
-110.39827034,31.964689156195,"18",Dust
-110.20027951,31.8529981389525,"19",Soil
-110.28883761,32.1703834614479,"20",Soil
-110.416515148096,32.3449402275823,"21",Soil
-110.68019428,32.65696434,"5",Soil
-110.9278644,32.5112584520048,"7",Soil
-110.93545394,32.4164476552386,"8",Soil
-109.91544674,32.0060340963307,"30",Soil
-109.69529348,31.890179602254,"27",Soil
-109.98274758,32.5995986939172,"24",Soil
-110.16796092,32.65831202,"22",Soil
-109.92733731,32.41825505,"25",Soil
-110.01715278,32.2294395747889,"23",Soil
-109.90495609,32.1435241881371,"26",Dust
-111.14383804,32.4244145781371,"9",Soil
-111.36588275,32.6170388788152,"1",Dust
-111.08539314,32.6590610881371,"3",Soil
-110.876633853203,32.6425826265164,"4",Soil
